uuid,gpu_name,elapsed_s,matmuls,dtype,n,tflops
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,15.11,20,bf16,8192,222.492
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,15.21,20,bf16,8192,224.134
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,15.31,20,bf16,8192,224.17
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,15.41,20,bf16,8192,224.154
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,15.51,20,bf16,8192,223.743
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,15.6,20,bf16,8192,223.82
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,15.7,20,bf16,8192,221.738
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,15.8,20,bf16,8192,224.162
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,15.9,20,bf16,8192,223.984
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16.0,20,bf16,8192,224.019
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16.1,20,bf16,8192,223.758
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16.19,20,bf16,8192,223.746
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16.29,20,bf16,8192,222.195
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16.39,20,bf16,8192,224.077
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16.49,20,bf16,8192,223.782
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16.59,20,bf16,8192,223.647
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16.69,20,bf16,8192,223.6
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16.78,20,bf16,8192,223.752
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16.88,20,bf16,8192,223.057
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,16.98,20,bf16,8192,223.577
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,17.08,20,bf16,8192,224.071
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,17.18,20,bf16,8192,223.903
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,17.28,20,bf16,8192,223.841
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,17.37,20,bf16,8192,224.391
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,17.47,20,bf16,8192,224.04
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,17.57,20,bf16,8192,221.929
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,17.67,20,bf16,8192,224.056
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,17.77,20,bf16,8192,223.814
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,17.87,20,bf16,8192,223.545
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,17.96,20,bf16,8192,223.57
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,18.06,20,bf16,8192,223.773
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,18.16,20,bf16,8192,222.244
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,18.26,20,bf16,8192,223.823
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,18.36,20,bf16,8192,223.877
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,18.46,20,bf16,8192,224.092
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,18.55,20,bf16,8192,223.871
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,18.65,20,bf16,8192,223.803
GPU-38ba4f51-a57b-4ca5-e2ab-74396ae57bdb,NVIDIA GeForce RTX 5090,18.75,20,bf16,8192,222.483
